item_id,item,relation_to_nikitin,value,unit,place_id,model_tier,basis,epistemic,certainty,source_id,source_page,notes
horse_buy,"Покупка жеребца",yes,100,"рублей",,,"Ф. 21",text,certain,KHR2026,"Ф. 21","Природа рубля XV в. требует оговорки; не считать прямой прибылью."
horse_sell,"Продажа жеребца",yes,68,"футунов",bidar,,"Ф. 39","text",certain,KHR2026,"с. 149, 230–231","Продан в Бидаре; не равно прибыли."
bidar_expenses,"Расходы в Бидаре",yes,2.5,"алтына/день",bidar,,"Ф. 80",text,certain,KHR2026,"с. 230","Показатель масштаба ежедневных расходов."
no_safe_route,"Нет безопасного пути из Индии",yes,,"ограничение",,,"Ф. 80",text,certain,KHR2026,"с. 231","Объясняет ограничения торгового плана Никитина."
arab_horse,"Арабский конь",yes,,,,"—","торговля лошадьми Ормуз–Индия",model,disputed,ATLAS,,"Сравнительный фон."
iran_horse,"Иранский конь",no,,,,"—","торговля лошадьми Ормуз–Индия",model,disputed,ATLAS,,"Сравнительный фон."
russian_horse,"Русский конь",yes,,,,"—","Ф. 21, Ф. 39",model,disputed,ATLAS,,"Антипример прибыли: вложение vs продажа."
black_pepper,"Чёрный перец",yes,,,,"высокий","индоокеанская торговля пряностями XV в.",model,disputed,ATLAS,,"Гипотеза модели; требует библиографической привязки."
ginger,"Имбирь",yes,,,,"высокий","индоокеанская торговля пряностями XV в.",model,disputed,ATLAS,,"Гипотеза модели."
cinnamon,"Корица",no,,,,"высокий","индоокеанская торговля пряностями XV в.",model,disputed,ATLAS,,"Гипотеза модели."
cloves,"Гвоздика",no,,,,"высокий","индоокеанская торговля пряностями XV в.",model,disputed,ATLAS,,"Гипотеза модели."
pepper_persia,"Перец в Персию",no,,,,"средний","индоокеанская торговля пряностями XV в.",model,disputed,ATLAS,,"Альтернативное направление (Аден/Персия)."
spices_rus,"Пряности на Русь",yes,,,,"максимальный","индоокеанская торговля пряностями XV в.",model,disputed,ATLAS,,"Предельный сценарий: макс. разрыв при макс. риске."
indigo,"Индиго",yes,,,,"умеренно высокий","торговля красителями и тканями",model,disputed,ATLAS,,"Гипотеза модели."
cotton_cloth,"Хлопковые ткани",yes,,,,"умеренный","торговля красителями и тканями",model,disputed,ATLAS,,"Гипотеза модели."
cotton_persia,"Хлопок в Персию",no,,,,"умеренный","торговля красителями и тканями",model,disputed,ATLAS,,"Альтернативное направление вывоза."
chinese_silk,"Китайский шёлк",no,,,,"транзит","справочный торговый фон",model,disputed,ATLAS,,"Не свидетельство Никитина; не делать центральным аргументом."
pearls,"Жемчуг",no,,,,"высокий риск","справочный торговый фон",model,disputed,ATLAS,,"Не делать центральным аргументом."
ceylon_rubies,"Цейлонские рубины",no,,,,"роскошь","справочный торговый фон",model,disputed,ATLAS,,"Предельный пример роскошного товара."
ivory,"Слоновая кость",yes,,,,"товарный фон","торговый маршрутник атласа",model,disputed,ATLAS,,"Гипотеза модели; требует источниковой привязки."
ivory_persia,"Слоновая кость в Персию",no,,,,"товарный фон","торговый маршрутник атласа",model,disputed,ATLAS,,"Альтернативное направление вывоза."
dates,"Финики",yes,,,,"низкий","маршрутный и портовый фон",model,disputed,ATLAS,,"Низкий риск и низкая цена."
copper,"Медь",no,,,,"низкий-средний","справочный торговый фон",model,disputed,ATLAS,,"Низкий риск, умеренный разрыв."
